,date,company_name,action,maya_link,html_link
166,08:46 01/03/2015,פוקס ,"מינוי נ.משרה-מנכ""ל חברת הבת ללין נרות וסבונים בע""מ-ארז מלכה",http://maya.tase.co.il/reports/details/951339,http://mayafiles.tase.co.il/RHtm/951001-952000/H951339.htm
167,08:13 01/03/2015,פוקס ,"מינוי נושא משרה-סמנכ""ל כספים -שחר רניה",http://maya.tase.co.il/reports/details/951326,http://mayafiles.tase.co.il/RHtm/951001-952000/H951326.htm
168,20:33 28/02/2015,אמיליה פיתוח ,"מינוי דח""צ - עוז ישראל",http://maya.tase.co.il/reports/details/951320,http://mayafiles.tase.co.il/RHtm/951001-952000/H951320.htm
169,18:37 26/02/2015,מגדלי ים תיכון ,מינוי דירקטור - אברון עידו,http://maya.tase.co.il/reports/details/951246,http://mayafiles.tase.co.il/RHtm/951001-952000/H951246.htm
170,17:04 26/02/2015,ויתניה ,"מינוי דח""צ - איתמר הרמן",http://maya.tase.co.il/reports/details/951205,http://mayafiles.tase.co.il/RHtm/951001-952000/H951205.htm
171,16:50 26/02/2015,ויתניה ,"מינוי דח""צ - רינת גזית",http://maya.tase.co.il/reports/details/951198,http://mayafiles.tase.co.il/RHtm/951001-952000/H951198.htm
172,16:49 26/02/2015,ארית תעשיות ,מינוי מבקר פנימי-רוזנבלום דורון,http://maya.tase.co.il/reports/details/951197,http://mayafiles.tase.co.il/RHtm/951001-952000/H951197.htm
173,16:12 26/02/2015,תדיראן הולדינגס ,"אסיפה ב-5.4.15,הסכם העסקה+שיפוי,מינוי דח""צ+גמול,כ.הצבעה",http://maya.tase.co.il/reports/details/951169,
174,16:04 26/02/2015,אן טי אס ,מינוי נושא משרה-מנכל ודירקטור ב-NTS -סיירוס דרייבר,http://maya.tase.co.il/reports/details/951176,
175,15:59 26/02/2015,מזרחי טפחות ,מינוי דירקטור - אברהם זלדמן,http://maya.tase.co.il/reports/details/951173,
176,15:56 26/02/2015,תדיראן הולדינגס ,"זימון אסיפה ל-5.4.15,הסכם העסקה+שיפוי,מינוי דח""צ+גמול",http://maya.tase.co.il/reports/details/951162,
177,13:45 26/02/2015,מזרחי טפחות ,תוצ' אסיפה מיוחדת מיום 26.2.2015-מינוי דירק',http://maya.tase.co.il/reports/details/951098,http://mayafiles.tase.co.il/RHtm/951001-952000/H951098.htm
178,11:50 26/02/2015,אור סיטי החזקות ,"מינוי יו""ר דירקטוריון - ענבל אור",http://maya.tase.co.il/reports/details/951057,http://mayafiles.tase.co.il/RHtm/951001-952000/H951057.htm
179,11:45 26/02/2015,אור סיטי החזקות ,מינוי דירקטור - גולדרט זהבה,http://maya.tase.co.il/reports/details/951053,http://mayafiles.tase.co.il/RHtm/951001-952000/H951053.htm
180,09:02 26/02/2015,משאבי טבע ,"מינוי יו""ר דירקטוריון - סבג רועי",http://maya.tase.co.il/reports/details/951003,http://mayafiles.tase.co.il/RHtm/951001-952000/H951003.htm
181,23:22 25/02/2015,קמן קפיטל ,"מינוי נושא משרה-סמנכ""ל כספים -פלג גל",http://maya.tase.co.il/reports/details/950964,http://mayafiles.tase.co.il/RHtm/950001-951000/H950964.htm
182,23:20 25/02/2015,קמן קפיטל ,"מינוי מנכ""ל-הימל צבי",http://maya.tase.co.il/reports/details/950962,http://mayafiles.tase.co.il/RHtm/950001-951000/H950962.htm
183,23:20 25/02/2015,לייטסטון ,מינוי מבקר פנימי-אורי אילן,http://maya.tase.co.il/reports/details/950961,http://mayafiles.tase.co.il/RHtm/950001-951000/H950961.htm
184,23:19 25/02/2015,קמן קפיטל ,"מינוי יו""ר דירקטוריון - ישראל איטח",http://maya.tase.co.il/reports/details/950960,http://mayafiles.tase.co.il/RHtm/950001-951000/H950960.htm
185,23:15 25/02/2015,לייטסטון ,"מינוי דח""צ - ישראל דב מאיר",http://maya.tase.co.il/reports/details/950959,http://mayafiles.tase.co.il/RHtm/950001-951000/H950959.htm
186,23:14 25/02/2015,לייטסטון ,"מינוי דח""צ - אביעד גולדויכט",http://maya.tase.co.il/reports/details/950957,
187,23:09 25/02/2015,לייטסטון ,מינוי דירקטור בלתי תלוי - יורם איתן אטינגר,http://maya.tase.co.il/reports/details/950956,
188,18:58 25/02/2015,שפיר הנדסה ,"מינוי יו""ר דירקטוריון - שגב יהודה",http://maya.tase.co.il/reports/details/950935,
189,18:49 25/02/2015,מטרת מיזוג ,"מינוי דח""צ - שלום ויירניק ",http://maya.tase.co.il/reports/details/950930,
190,18:12 25/02/2015,קרדן יזמות ,מינוי נ.משרה-סמנכל השקעות וחבבנות בקרדן ישראל-אשר אלמוזנינו,http://maya.tase.co.il/reports/details/950919,http://mayafiles.tase.co.il/RHtm/950001-951000/H950919.htm
191,18:08 25/02/2015,קרדן ישראל ,"מינוי נושא משרה-סמנכ""ל השקעות וחברות בנות-אשר אלמוזנינו",http://maya.tase.co.il/reports/details/950916,http://mayafiles.tase.co.il/RHtm/950001-951000/H950916.htm
192,17:53 25/02/2015,קרדן ישראל ,"מינוי נ.משרה-סמנכ""ל,יועמ""ש ומזכירת חב-נעמה ארליך כץ",http://maya.tase.co.il/reports/details/950910,http://mayafiles.tase.co.il/RHtm/950001-951000/H950910.htm
193,08:32 25/02/2015,אפקון החזקות ,"מינוי מנכ""ל תדיראן טלקום שירותי תקשורת בישראל-צביקה אלפי",http://maya.tase.co.il/reports/details/950742,http://mayafiles.tase.co.il/RHtm/950001-951000/H950742.htm
194,23:41 24/02/2015,ספנסר אקוויטי ,מינוי מבקר פנימי-כהן משה,http://maya.tase.co.il/reports/details/950728,
195,23:39 24/02/2015,ספנסר אקוויטי ,מינוי נושא משרה-מזכיר החברה ונציג החברה בישראל-שמעוני יזהר,http://maya.tase.co.il/reports/details/950727,
196,23:33 24/02/2015,ספנסר אקוויטי ,"מינוי דח""צ - גדנסקי משה",http://maya.tase.co.il/reports/details/950726,
197,23:30 24/02/2015,ספנסר אקוויטי ,"מינוי דח""צ - סיגל מירב",http://maya.tase.co.il/reports/details/950725,http://mayafiles.tase.co.il/RHtm/950001-951000/H950725.htm
198,20:16 24/02/2015,סטאר נייט ,"זימון אסיפה מיוחדת ל-31.3.15-כתב הצבעה, מינוי דח""צים",http://maya.tase.co.il/reports/details/950697,http://mayafiles.tase.co.il/RHtm/950001-951000/H950697.htm
199,19:30 24/02/2015,סטאר נייט ,מינוי דירקטור - רון מירון,http://maya.tase.co.il/reports/details/950693,http://mayafiles.tase.co.il/RHtm/950001-951000/H950693.htm
